Sex,SmokingStatus,IssueAge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
M,NS,18,0.65,0.68,0.70,0.69,0.68,0.67,0.67,0.64,0.55,0.51,0.49,0.46,0.45,0.47,0.51,0.56,0.65,0.75,0.87,0.99,1.09,1.15,1.21,1.28,1.36,1.45,1.50,1.55,1.61,1.67,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,19,0.58,0.60,0.64,0.61,0.60,0.60,0.59,0.55,0.48,0.45,0.45,0.44,0.44,0.49,0.54,0.58,0.67,0.78,0.90,1.01,1.12,1.18,1.24,1.32,1.41,1.50,1.55,1.61,1.67,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,20,0.50,0.55,0.56,0.53,0.52,0.51,0.50,0.46,0.42,0.43,0.43,0.44,0.45,0.50,0.55,0.60,0.69,0.80,0.92,1.04,1.13,1.19,1.26,1.35,1.45,1.55,1.61,1.67,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,21,0.44,0.51,0.46,0.43,0.42,0.42,0.41,0.39,0.37,0.41,0.42,0.44,0.47,0.52,0.58,0.63,0.71,0.82,0.95,1.07,1.14,1.20,1.27,1.37,1.50,1.61,1.67,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,22,0.40,0.42,0.38,0.36,0.35,0.35,0.35,0.35,0.35,0.39,0.42,0.45,0.48,0.54,0.61,0.65,0.74,0.86,0.98,1.09,1.15,1.20,1.27,1.39,1.54,1.67,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,23,0.34,0.35,0.32,0.31,0.30,0.30,0.30,0.32,0.33,0.39,0.42,0.46,0.51,0.57,0.63,0.68,0.78,0.90,1.02,1.09,1.15,1.20,1.28,1.42,1.59,1.75,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,24,0.29,0.30,0.27,0.27,0.27,0.27,0.28,0.31,0.33,0.40,0.44,0.49,0.53,0.60,0.66,0.71,0.83,0.95,1.04,1.10,1.16,1.21,1.32,1.48,1.66,1.83,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,25,0.25,0.26,0.24,0.24,0.24,0.25,0.28,0.31,0.34,0.41,0.46,0.52,0.57,0.63,0.70,0.76,0.88,0.99,1.06,1.10,1.17,1.25,1.40,1.58,1.76,1.95,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,26,0.22,0.23,0.22,0.23,0.24,0.25,0.29,0.33,0.36,0.44,0.50,0.56,0.60,0.68,0.75,0.83,0.94,1.04,1.09,1.13,1.21,1.34,1.51,1.70,1.90,2.11,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
M,NS,27,0.19,0.21,0.21,0.23,0.25,0.27,0.30,0.34,0.38,0.47,0.54,0.60,0.65,0.73,0.82,0.89,1.00,1.07,1.12,1.20,1.30,1.46,1.64,1.85,2.07,2.30,2.52,2.74,2.95,3.15,3.35,3.57,3.84,4.19,4.63,5.15,5.74,6.39,7.09,7.84,8.65,9.57,10.63,11.88,13.37,15.13,17.15,19.44,21.96,24.74,27.81,31.26,35.22,39.83,45.09,51.12,58.12,66.25,75.68,86.56,98.97,112.72,127.52,143.04,158.80,174.51,189.73,203.75,218.45,235.54,253.92,273.64,294.31,315.52,336.99,358.54,379.81,400.44,420.09,438.40,455.01,469.56,481.70,491.07,497.31,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
