0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
120402.41914005237,136385.14271744102,98002.63330784746,116855.59391516206,108748.66074348977,116325.63979309188,129823.10562378958,121645.76589430869,108643.42884552223,116314.19861671099,119537.28989186705,118448.51302279948,115026.20191622044,113575.24645095953,119126.9423924965,129766.16760455637,148289.99539624533,105935.48356087256,145195.21092794192,123675.45573938746,115110.58298923545,137390.77873699635,122022.89247922285,144216.41420488834,108122.57454872783,120538.90300003199,122243.02954117893,117373.11652552625,119651.00225305691,154447.1287046314,97713.2360617375,122355.2371519036,131620.69673521875,121164.55938101662,110936.03739520558,125541.84080700489,129615.30619729747,133103.8407422195,129975.3224098834,115362.10637495665,122929.46416817381,141198.58929635794,120822.92325637136,162403.3071657393,160033.25468787173,124024.08225484058,158123.66444248246,131436.9523167839,135436.2924629828,121225.50317153282,112795.82765372076,135006.81073531418,109049.4869824056,119098.69448722273,120412.60565146095,146265.58818830873,120325.45521902788,112609.18896418397,114572.16420931142,125630.91945696119,114255.19896771896,164263.95472222133,107091.08861431899,98951.04836039622,130915.8358843941,127583.0888534603,123630.15778259121,135538.68754149243,124593.37714846831,119152.80833724633,125193.47558410175,139573.55152212433,113261.02529180943,134385.78286169615,131567.7434709771,140091.56319042927,130644.57924051872,133231.78571360893,116600.98828219327,145868.02651789645,126386.9401738056,112558.56854679188,118181.79253446776,131461.07129801717,149746.81021099372,143706.42367157683,130345.46698963805,143679.85257384257,115024.61069219143,135069.06456842474,132935.64922738046,121601.07815045034,143542.23516917625,117638.2865627238,128218.81999303441,100875.36313659194,115904.14194354136,155834.56087503728,159307.15844263072,113552.8339517017
133652.59144880346,143787.33822105493,128039.06325942054,140197.7724550204,140601.1647119136,158168.9753547939,169165.16139337613,132481.489969672,129243.1911367031,124774.42693500919,176193.53830888387,133698.93148247784,188556.83926190034,177756.4420380183,139759.71677082527,182881.29151742952,144811.6017212348,121187.0377569011,178226.09034073778,126335.91140789162,133211.715058097,180758.3418996465,138483.8719867632,177625.5617539023,165832.01548407573,137446.08376879088,179017.48520409968,132354.89534686826,127924.48517449053,217683.78476155494,106383.13892899822,145527.96695595863,130510.3342215165,170444.34519964503,129753.46952313496,163323.62195394537,160953.58231391036,180976.36348750323,167296.73177003762,119298.24260284379,145721.05023441926,165438.16213864426,140980.72291883384,180830.50235332202,147281.86543677648,134560.9945981375,228154.55777318968,149471.43116543943,142468.04495937983,156094.2033106286,110994.08772355659,147750.37031174536,155763.05875796566,146779.48403402467,119555.17563762695,168529.5774888679,152428.04054878897,137747.82197876344,166671.3229394846,168032.70898141945,132806.91926988866,193057.68070928252,146162.9366970977,141680.85525130754,184366.60819765396,129935.4967020739,138582.29665380876,184054.53546822036,136498.81292504948,120784.4408747635,164712.2540242348,178041.95331502458,135413.2971134562,144224.54101210384,199088.40826082084,173214.8191107917,146679.99903815234,150864.4188430931,155244.4828858985,173889.90889400477,131207.178595478,158499.05947087254,167907.43396707208,142075.55126527097,230251.60105703387,148925.94625665285,141802.96985326806,216274.30165012725,142280.30336942902,153018.81181178134,148098.03362693317,116402.06832157534,167227.54196930485,149537.0726652006,146541.8795216725,125719.23577390963,147074.99810916817,201522.34014838148,196215.02390384837,131637.20038579253
159850.72197822356,201364.83823879444,125295.2495985638,163831.84927110627,165915.4437408448,170919.71008321893,195755.14094502144,184828.76719244724,148446.5948691903,134748.37836503296,186742.07033599535,157521.0829675114,178956.4557142241,198518.84839983087,168301.76451910203,165364.48925122057,177649.54256530205,151837.17531203685,203354.20918201344,174765.1979155693,179023.66687947005,267055.32114479726,162525.18767297693,169801.7656458862,184866.16340630612,177553.6291341521,236053.46591081738,166531.0199185084,186440.21688061918,221855.44070090697,139449.0817895206,177832.17187940812,228254.69876126037,166154.52593191477,173004.61789566223,172409.3343192541,235773.9488268723,214654.55474853356,201732.35589858313,154509.13130724872,227762.06940751424,163228.41320782638,145963.85987642614,245331.20190640798,208212.55985579157,156168.20911440163,216933.27251951693,171675.89958327662,190350.63090876478,227950.68814541367,129453.45517805568,155369.6370102229,196704.84142440194,156320.8596940982,138843.3418504929,195957.93452432295,164435.4172302232,192045.2926751687,175879.1774379315,218149.9706014653,171399.00604652666,218743.90941629137,180871.69166609488,181990.70076818886,250457.26096980958,143455.0389141261,187677.74868767126,222321.89566421614,180319.48334329593,155618.83619061118,168664.1486596296,188591.50331104043,158964.5202286017,162924.10442515512,216538.70274791366,224896.08732701742,155032.83195293896,199033.203670395,191384.64999645157,234059.11402008412,174234.27515876145,225033.54133768036,195896.6301237555,213204.10444333716,220907.61148033905,193281.88906765793,162557.02690775585,244461.6216230277,163167.001620427,187459.3573359204,173920.41419766442,165886.05867135717,184105.7636787568,187892.97752301922,143724.34133716527,129126.61157718126,204490.60805424463,199729.6337093137,176011.13050025623,140105.890458669
172613.02084960134,269001.0814209946,155850.76362226898,203943.17804160327,201083.75179263233,173204.25276984324,274937.8024698375,239544.59987369133,204337.04672585375,136171.30986717608,260647.10711429158,180784.36386069222,218425.9754436942,237443.68479834253,175564.65020319607,198425.41867127913,212106.9028003774,201410.2717175217,208967.31850206648,225999.46006795767,183936.18737343285,275101.3393338461,180727.23869056426,191451.90310225997,245794.9249520207,177239.43728606447,274092.1464143927,186989.5783316906,227477.66977193032,300079.8035758527,156741.0598542314,209326.04793019913,346034.5769975062,170439.45037733496,191737.329736076,160291.88111879976,346298.95660798566,316322.9225277957,245920.40874780552,147149.5665598476,257708.311443525,204491.79277904276,140404.61377451292,306654.0741370951,257065.2366491435,206128.42936004204,279480.3697516669,179808.2526403548,277845.4070630349,267931.19343512494,158753.49891196025,229715.35474527726,225634.73600255031,179674.5042744522,152727.71599661597,260562.93220140523,250434.79082917824,204137.31966657337,211887.1805661876,263763.7021360551,226316.6328436457,236632.7522072991,187971.32165615013,244187.58942023848,324898.84485780564,183318.53584549407,228003.2723519725,234795.11546998168,239826.91327713087,160044.9465499386,192192.40165975556,263661.72410940914,206900.30285888273,206813.1564120142,297987.57216987025,304841.73702555307,222282.94053883204,217729.99085086424,214808.10228320805,225481.46792194902,177140.81411476227,290989.2737395708,286399.7811958799,247688.23160400358,202695.93825567997,213110.22945692294,234070.76728855394,281473.50029248546,249474.67626747285,225039.30286358774,209126.0178330958,247940.91810186315,255866.79782141204,209990.32172243853,165332.4691718206,178510.63312691805,307167.81296149275,259153.21156925795,211152.11392211774,162399.8218083186
194104.78473129668,349919.3380242614,210243.15299814683,250370.5821229687,251504.20043684472,173760.06928169567,314721.40722104127,286027.02679498843,264125.4581493121,192551.2203192187,363033.03902938496,205492.75171454955,241388.8647224811,267203.2201669115,214618.41577050893,229734.57189125236,296433.3917225946,235303.99322324537,230028.77477521152,221948.17144081378,331964.5686605902,384509.3634191585,221172.9355325446,234780.07024821753,288475.1103063377,181238.4972686121,360257.7251361392,240041.9621356587,270860.7649508659,452981.37273906136,197380.83371044995,258432.92716540463,402590.67731926625,175287.8856402751,206171.3163128916,173975.16026301208,342211.9484770284,359956.2655840517,306832.36430734326,166317.83410290812,324472.51058591786,219892.38095473702,168200.68135675526,370583.3437566265,316990.81736072036,242797.40453806837,274179.87984578795,202192.44755372184,292024.7703137947,275865.28143813444,165315.81655480177,253333.72231706238,230999.904571973,191841.4722182541,171449.79045544073,322744.5718852858,251105.64922052147,223993.7124499126,216811.77309248745,296725.23857664294,261534.6470716219,246156.64191401008,285652.34599280637,278129.78322918725,383633.64798753,247373.35457022194,322243.26105476613,287484.28924124304,299006.3753287995,207922.91650332545,237875.50195836666,280081.88220205565,253923.37844682697,218252.15489377244,351941.8414204164,420745.5555536604,278255.4048387336,215238.95398418262,211288.86592351663,270547.9167869609,155194.7134176368,289672.9997456982,262223.60211853124,294026.18403319595,270358.64636277885,256955.5622946093,307326.82695371914,280862.42321704933,251288.15791821986,191819.3647020223,256094.4497068486,361473.8825249133,224978.64650292174,278184.2020090709,165395.80265971817,211992.7994252806,293233.30992327025,295564.26348447264,254299.38228164593,197897.60552809713
281041.58266895066,446935.3478566254,227711.6340394209,342702.99377978937,268132.13353131246,162137.7403131557,288174.387686819,256627.35920292168,271037.1331939424,267564.3729541855,325805.9491125813,236196.37957314975,223661.92385649943,315496.8003658821,240255.06801690068,216846.00786297198,400437.77985588525,241771.1488777054,237922.57814902638,250438.48716129066,273601.784951808,413586.481766815,291433.0849401207,270947.7543676521,310436.3432769728,199807.45259968276,350463.55332412664,281305.9770744478,271475.4564938555,599809.3244485825,225463.02991775208,324585.95795948006,561065.193941875,221764.82768392604,215894.49901816755,190803.52305697178,378358.6861618262,410438.12386440847,403249.3725753586,281424.3808897739,353016.22609751613,248388.5508285142,207728.28416179554,394872.34731334925,424910.3476253559,281906.3383982301,359654.07161486393,281583.3316350067,331422.13669296645,307597.6234980079,248654.17146269197,281866.13550526206,247840.40406619007,229802.8721322583,188974.00161106468,385632.0171842213,219681.427942563,276641.89086949086,249111.99911303492,417009.90649488504,344366.4916623389,293586.0639588439,322570.6007369958,356654.85831042565,366479.68308288313,329988.31521487824,410747.1708014082,377450.29011492804,423610.4265473143,311526.4169512389,259202.38137259913,369665.11384957045,321383.6021067526,271611.2799691583,440777.91253393487,492634.249521907,299658.7278798501,312821.46959337447,286527.66850737104,244942.69060511963,157203.7385460111,305197.63558199356,302682.58363588405,306054.915533336,301417.25842373155,310746.23801190127,344198.26508527005,317291.4129949614,267584.3786586752,228195.19012418497,338531.50659853674,423090.5008327149,259207.66437582352,279881.3659616767,186044.37508707304,172887.25042601404,350521.9385534873,325228.6529690322,326440.2147770655,255748.53119769934
334581.4829207287,568430.2439534281,233470.39547483763,464799.6075920192,293792.65871582925,181580.7791887807,356582.6763703327,337520.36454695056,245226.94278414542,314445.36453814036,396502.43935802934,286755.5750779259,231663.2859950979,344600.2149974329,214426.65978662454,266147.9074451844,533813.5090226145,295316.2126167376,267144.69109128637,256861.4608194526,334566.2126029701,411463.4964062017,281106.06126324617,333976.3177349706,368890.98287201044,208833.79022090975,491746.20807339734,315272.74667529983,277816.51441759226,847543.243400302,289720.34660627856,400745.41278781823,616030.2468019106,247050.76939874957,280545.53264031786,243654.32059635903,429054.0087234563,466235.1207159182,463823.5853673266,322889.3108519914,451464.7589686091,340097.47645941324,242318.1415957554,509219.76365288056,492286.00872847677,390942.57880814705,512310.0890055765,386432.2165425724,398243.10154820257,428369.85815734614,384373.79995677795,303512.98688617354,259224.50436944724,260342.17482268484,205371.95467790187,450200.07106538536,274144.4783317823,270264.8635284081,258318.68919365614,485908.7596362775,371496.0420284953,310670.489095183,344888.62635127903,378872.6835645595,393658.90258272627,277309.3061886829,422307.0081859459,402312.56741922145,427885.3766318595,437965.3183464961,281076.0566133457,444211.9489695257,376207.62987839815,451078.0604205691,536812.7328163852,563667.8824087207,305976.26006335765,324478.51727584744,399876.43006280344,300111.49838519486,196752.96114333608,334240.51339185407,309605.02089017676,427945.61865483894,402286.9928149247,383674.0158976923,413551.0878127526,340713.28473072307,350162.5012402472,252330.5455292674,394924.29418336926,527845.408864646,281895.5649763053,353394.0111595977,252775.99971520045,227615.03585254762,439926.29542671144,324586.704295863,333330.20028074505,225680.59088259313
395058.36335333646,782025.3579680764,339375.45553993684,579651.1332586189,332965.4509730521,191115.67815993936,479180.92144682317,502872.4899239691,289428.6349204227,341869.4470077844,468808.3092234056,354209.1019264571,332129.8192381117,332144.77119142655,231078.33766291465,224299.14515362176,552797.9228619109,319761.1755588968,294320.08984539204,346364.6050217094,395959.0425724898,460166.71741743747,297702.2212549972,315624.3818485495,413408.973822315,216322.85657765355,507667.59030448506,362749.9088853432,306466.9954868477,1172605.4450526796,265544.40253012115,367738.9142417527,701537.992716246,252308.31497847874,415485.4692456232,335427.06836304173,605544.9235682953,514122.86441547965,612061.3029700982,437553.67210284667,448069.85443234624,317771.249840913,265177.73682427185,715009.9131030397,693143.3659070102,464442.79577908735,543830.6298501691,307330.7077236853,405386.2365537325,559742.4250782274,392272.23790817405,376809.1260593461,272737.41196053126,338485.2821760662,251668.4588369311,478318.7013519502,415002.20906063705,374425.2579523663,275346.36347047077,564647.623407037,355783.7683026665,295784.76813503855,349370.6364392406,328369.9416608204,377851.1630122202,324112.85820614046,656969.3203680421,435179.700291688,502871.9442234918,487880.7293182957,326031.2997670234,489677.619601392,316855.3642926265,546677.9542864586,587701.1390437952,612420.331308346,366451.6501060626,410537.3859675814,398141.2659190843,363435.6815244583,276239.861184462,326503.27225941117,378517.7805834405,485406.8844949839,409702.48043033405,445336.87365960033,469461.0654788581,360121.66993592907,326658.7442520533,318850.2041001689,441149.0527399387,602980.0649956621,351987.0089896365,381883.46301415144,360665.45734582766,298762.9089665375,407894.0515294897,373356.5247846619,435798.84028528316,287375.44179119053
396915.654301743,730964.7054937233,370258.1695615735,669837.5552837774,372687.2185287262,203360.90513397194,543068.6903125007,449306.02571877185,300564.40225278964,352440.7181194789,680498.6489555245,366925.8607018204,342896.25691796903,399232.0031359006,270198.81494514574,284791.2312066695,613338.664162369,490642.034139007,405508.53149889724,444107.39816453913,426552.2446816092,512158.2851314206,388311.5263612137,391228.8697032679,512335.33948454185,239212.52745010663,789142.6529340934,499429.9430600445,272831.06521426054,1435029.0927439798,266524.46388229553,392669.9246463996,729829.7226702636,330863.5879016866,429748.3937729391,345518.3351468249,626768.6702498612,714222.5100338,575090.3695117356,455714.73299290385,469620.3526493653,363417.7266783108,274440.2287121402,766307.7869087313,706209.0146459041,456805.20771662757,596768.515538229,300993.01635048166,545038.1963615026,538592.406681385,392299.16401739756,343583.1074368011,354929.0853245228,402175.795638307,328050.03099206835,460163.20931410487,377947.07302943623,482012.05811086117,392011.3496743544,620498.1737294666,471842.89737273956,377148.5336475558,425763.0906863314,403748.7149582158,475870.1407696159,312140.68297328276,742854.9379584145,435343.92399847327,503278.0741487067,562253.1953114667,361708.04596452264,606017.8359837596,352421.993039764,549316.0955629878,782868.0978746687,621195.6848948649,495164.2361286781,445759.6839836679,390398.7311157766,420903.48672995187,374921.68751195446,417489.07007453335,462460.8724021673,590721.5638474863,435744.4208736836,497716.32525309,503844.34778753057,458521.6788932511,470061.135780332,361051.3565224615,544362.7300619278,633634.6895286422,461496.95896086295,391205.2164738746,462819.48369213793,422784.1934056233,463130.6396599882,497276.83757403085,498154.91916993586,301778.0753314275
